Timestamp,Location,PM2.5,PM10,NO2,NH3,SO2,CO,O3
01-01-2020,Chennai - Alandur Bus Depot,29.55,NA,17.41,NA,3.74,0.52,19.19
02-01-2020,Chennai - Alandur Bus Depot,39.04,NA,15.83,NA,4.87,0.54,13.81
03-01-2020,Chennai - Alandur Bus Depot,46.23,NA,16.22,NA,5.92,0.83,24.96
04-01-2020,Chennai - Alandur Bus Depot,35.73,NA,11.56,NA,6.32,0.56,30.67
05-01-2020,Chennai - Alandur Bus Depot,41.68,NA,12.93,NA,8.93,0.38,39.27
06-01-2020,Chennai - Alandur Bus Depot,24.21,NA,14.66,NA,7.23,0.59,20.44
07-01-2020,Chennai - Alandur Bus Depot,28.29,NA,16.8,NA,5.73,0.44,21.86
08-01-2020,Chennai - Alandur Bus Depot,39.67,NA,29.01,NA,6.66,0.45,20.19
09-01-2020,Chennai - Alandur Bus Depot,39.36,NA,24.78,NA,3.91,0.62,18.27
10-01-2020,Chennai - Alandur Bus Depot,43.4,NA,24.33,NA,5.06,0.51,21.24
11-01-2020,Chennai - Alandur Bus Depot,18.35,NA,23.92,NA,3.84,0.55,23.02
12-01-2020,Chennai - Alandur Bus Depot,52.92,NA,24.97,NA,7.8,0.56,25.13
13-01-2020,Chennai - Alandur Bus Depot,62.54,NA,24.73,NA,11.26,0.62,29.91
14-01-2020,Chennai - Alandur Bus Depot,114.04,NA,28.18,NA,11.03,0.72,29.11
15-01-2020,Chennai - Alandur Bus Depot,36.4,NA,18.36,NA,4.02,0.46,28.69
16-01-2020,Chennai - Alandur Bus Depot,26.45,NA,19.99,NA,4.9,0.44,27.56
17-01-2020,Chennai - Alandur Bus Depot,28.49,NA,14.18,NA,3.95,0.46,17.62
18-01-2020,Chennai - Alandur Bus Depot,24.73,NA,10.74,NA,3.96,0.6,23.83
19-01-2020,Chennai - Alandur Bus Depot,22.92,NA,18.86,NA,3.83,0.56,17.05
20-01-2020,Chennai - Alandur Bus Depot,35.1,NA,15.55,NA,4.38,0.59,18.02
21-01-2020,Chennai - Alandur Bus Depot,40.88,NA,21.06,NA,3.92,0.55,27.55
22-01-2020,Chennai - Alandur Bus Depot,48.57,NA,26.47,NA,2.11,0.54,29.56
23-01-2020,Chennai - Alandur Bus Depot,62.17,NA,24.76,NA,1.63,0.58,26.13
24-01-2020,Chennai - Alandur Bus Depot,56.81,NA,28.35,NA,3.54,0.86,28.63
25-01-2020,Chennai - Alandur Bus Depot,54.07,NA,26.51,NA,3.49,0.71,27.69
26-01-2020,Chennai - Alandur Bus Depot,48.53,NA,21.88,NA,5.02,0.61,30.18
27-01-2020,Chennai - Alandur Bus Depot,51.08,NA,24.31,NA,4.26,0.73,27.65
28-01-2020,Chennai - Alandur Bus Depot,54.02,NA,23.24,NA,5.16,0.71,29.97
29-01-2020,Chennai - Alandur Bus Depot,43.21,NA,21.34,NA,3.4,0.59,14.42
30-01-2020,Chennai - Alandur Bus Depot,41.29,NA,21.8,NA,3.35,0.51,18.15
31-01-2020,Chennai - Alandur Bus Depot,43.39,NA,18.35,NA,4.64,0.57,45.7
01-02-2020,Chennai - Alandur Bus Depot,42.71,NA,19.75,NA,4.31,0.42,33.67
