Timestamp,Location,PM2.5,PM10,NO2,NH3,SO2,CO,O3
01-01-2020,Gwalior - City Center,NA,NA,NA,NA,NA,NA,NA
02-01-2020,Gwalior - City Center,NA,NA,NA,NA,NA,NA,NA
03-01-2020,Gwalior - City Center,NA,NA,NA,NA,NA,NA,NA
04-01-2020,Gwalior - City Center,NA,NA,NA,NA,NA,NA,NA
05-01-2020,Gwalior - City Center,NA,NA,NA,NA,NA,NA,NA
06-01-2020,Gwalior - City Center,NA,NA,NA,NA,NA,NA,NA
07-01-2020,Gwalior - City Center,NA,NA,NA,NA,NA,NA,NA
08-01-2020,Gwalior - City Center,NA,NA,NA,NA,NA,NA,NA
09-01-2020,Gwalior - City Center,NA,NA,NA,NA,NA,NA,NA
10-01-2020,Gwalior - City Center,NA,NA,NA,NA,NA,NA,NA
11-01-2020,Gwalior - City Center,NA,NA,NA,NA,NA,NA,NA
12-01-2020,Gwalior - City Center,NA,NA,NA,NA,NA,NA,NA
13-01-2020,Gwalior - City Center,NA,NA,NA,NA,NA,NA,NA
14-01-2020,Gwalior - City Center,NA,NA,NA,NA,NA,NA,NA
15-01-2020,Gwalior - City Center,NA,NA,NA,NA,NA,NA,NA
16-01-2020,Gwalior - City Center,NA,NA,NA,NA,NA,NA,NA
17-01-2020,Gwalior - City Center,NA,NA,NA,NA,NA,NA,NA
18-01-2020,Gwalior - City Center,NA,NA,NA,NA,NA,NA,NA
19-01-2020,Gwalior - City Center,NA,NA,NA,NA,NA,NA,NA
20-01-2020,Gwalior - City Center,NA,NA,NA,NA,NA,NA,NA
21-01-2020,Gwalior - City Center,NA,NA,NA,NA,NA,NA,NA
22-01-2020,Gwalior - City Center,146.57,239.89,36.3,46.43,32.78,0.57,64.9
23-01-2020,Gwalior - City Center,80.19,137.73,24.43,34.41,28.76,0.4,73.93
24-01-2020,Gwalior - City Center,67.99,125.47,25.34,31.54,29.41,0.33,80.39
25-01-2020,Gwalior - City Center,98.25,165.53,29.06,31.63,27.24,0.38,64.4
26-01-2020,Gwalior - City Center,114.69,177.69,32.96,32.25,29.18,0.43,70.68
27-01-2020,Gwalior - City Center,64.9,116.28,22.93,19.5,27.27,0.41,83.79
28-01-2020,Gwalior - City Center,59.17,119.77,19.53,34,33.81,0.46,73.33
29-01-2020,Gwalior - City Center,99.17,143.45,NA,NA,29.43,0.39,68.46
30-01-2020,Gwalior - City Center,73.06,129.63,NA,NA,26.87,0.4,66.81
31-01-2020,Gwalior - City Center,72.81,125.55,NA,NA,31.02,0.46,73.2
01-02-2020,Gwalior - City Center,21.53,114.03,NA,NA,32.62,0.57,87.8
02-02-2020,Gwalior - City Center,74,137.05,NA,NA,29.45,0.55,96.83
03-02-2020,Gwalior - City Center,91.14,159.61,NA,NA,29.85,0.63,65.17
04-02-2020,Gwalior - City Center,90.8,150.98,38.67,33.87,27.04,0.56,70.42
05-02-2020,Gwalior - City Center,128.94,203.84,36.19,30.71,18.42,0.64,71.93
06-02-2020,Gwalior - City Center,108.66,170.07,31.48,27.2,19.25,0.4,68.1
07-02-2020,Gwalior - City Center,107.08,176.19,35.5,28.3,19.99,0.46,78.55
08-02-2020,Gwalior - City Center,124.45,192.74,39.27,28.21,19.11,0.52,68.77
09-02-2020,Gwalior - City Center,144.02,224.44,37.61,26.97,19.54,0.45,72.32
10-02-2020,Gwalior - City Center,136.51,236.53,43.88,26.55,19.33,0.44,60.13
11-02-2020,Gwalior - City Center,98.17,179.05,40.05,22.57,20.19,0.32,71.14
12-02-2020,Gwalior - City Center,100.6,184.45,41.5,24.03,19.96,0.4,71.72
13-02-2020,Gwalior - City Center,77.15,149.69,44.23,23.16,19.73,0.32,79.45
14-02-2020,Gwalior - City Center,46.7,138.95,31.16,18.04,19.89,0.35,105.26
