Timestamp,Location,PM2.5,PM10,NO2,NH3,SO2,CO,O3
01-01-2020,Hyderabad - Central University,28.59,60.95,24.08,20.21,2.73,0.69,26.84
02-01-2020,Hyderabad - Central University,17.29,47.08,28.58,19.93,2.03,0.62,19.11
03-01-2020,Hyderabad - Central University,18.01,48.72,22.37,19.81,2.8,0.57,21.3
04-01-2020,Hyderabad - Central University,44.17,90.06,27.84,20.48,2.37,0.76,27.72
05-01-2020,Hyderabad - Central University,53.99,101.56,30.71,19.58,9.12,0.38,28.79
06-01-2020,Hyderabad - Central University,42.32,86.37,29.94,20.05,5.66,1.64,26.5
07-01-2020,Hyderabad - Central University,39.04,82.92,28.17,20.03,2.05,0.13,26.49
08-01-2020,Hyderabad - Central University,27.09,71.65,25.38,16.85,2.8,0,23.91
09-01-2020,Hyderabad - Central University,34.68,80.8,29.97,17.55,2.81,0,18.07
10-01-2020,Hyderabad - Central University,63.51,116.66,31.56,18.8,3.19,0,29.54
11-01-2020,Hyderabad - Central University,66.81,127.81,41.33,20.22,5.49,0,28.04
12-01-2020,Hyderabad - Central University,58.06,127.8,40.99,23.76,5.2,0,32.2
13-01-2020,Hyderabad - Central University,55.11,126.18,51.75,24.66,6.15,0,29.47
14-01-2020,Hyderabad - Central University,61.98,123.22,34.27,29.56,1.77,0,42.55
15-01-2020,Hyderabad - Central University,34.05,70.48,20.42,26.55,2.75,0,35.93
16-01-2020,Hyderabad - Central University,21.31,59.81,21.59,22.6,2.61,0,29.61
17-01-2020,Hyderabad - Central University,17.26,52.8,25.98,21.05,2.36,0,24.05
18-01-2020,Hyderabad - Central University,21.02,60.01,27.77,22.41,1.82,0,25.58
19-01-2020,Hyderabad - Central University,19.53,58.72,23.6,21.73,1.81,0,27.63
20-01-2020,Hyderabad - Central University,24.86,73.33,28.95,22.84,2.67,0,25.95
21-01-2020,Hyderabad - Central University,22.99,74.45,30.35,30.5,3.54,0,28.01
22-01-2020,Hyderabad - Central University,24.54,70.18,30.53,32.05,1.93,0,27.34
23-01-2020,Hyderabad - Central University,39.5,98.14,45.15,26.12,2.67,0,22.13
24-01-2020,Hyderabad - Central University,44.84,112.59,56.71,24.73,2.51,0,22.41
25-01-2020,Hyderabad - Central University,55.57,132.28,51.23,26.68,3.77,0,26.5
26-01-2020,Hyderabad - Central University,46.76,123.44,38.54,24.88,3.22,0,29.67
27-01-2020,Hyderabad - Central University,43.99,108.9,32.55,26.67,3.51,0,29.71
28-01-2020,Hyderabad - Central University,36.76,98.72,20.57,28.48,5.29,0,38.85
29-01-2020,Hyderabad - Central University,43.92,128.52,38.26,34.12,2.18,0,30.41
30-01-2020,Hyderabad - Central University,59.09,154.34,36.21,29.93,4.21,0,40.41
31-01-2020,Hyderabad - Central University,45.41,117.39,40.86,101.41,5.63,0,37.45
01-02-2020,Hyderabad - Central University,24.56,72.39,75.87,122.89,5.66,0,19.77
02-02-2020,Hyderabad - Central University,26.2,62.95,34.92,44.85,2.6,0,22.73
03-02-2020,Hyderabad - Central University,21.53,76.09,38.31,44,2.82,0,19.82
04-02-2020,Hyderabad - Central University,16.89,63.84,38.6,42.52,2.7,0,22.23
05-02-2020,Hyderabad - Central University,24.06,74.85,45.86,40.94,1.38,0,20.22
06-02-2020,Hyderabad - Central University,20.91,77.77,38.8,39.4,2.54,0,27.33
07-02-2020,Hyderabad - Central University,22.82,79.05,30.72,37.25,1.74,0,33.4
08-02-2020,Hyderabad - Central University,28.39,74.28,35.04,34.7,2.1,0,23.79
09-02-2020,Hyderabad - Central University,31.21,64.77,35.62,33.8,3.04,0,17.28
10-02-2020,Hyderabad - Central University,29.11,63.9,36.73,32.43,1.95,0,26.28
11-02-2020,Hyderabad - Central University,33.31,74.28,37.7,30.81,3.03,0,34.98
12-02-2020,Hyderabad - Central University,41.34,91.59,45.09,32.12,1.08,0,30.25
13-02-2020,Hyderabad - Central University,49.08,119.55,53.1,32.61,6.18,0,32.54
14-02-2020,Hyderabad - Central University,59.66,148.6,78.39,34.99,10.62,0,26.48
15-02-2020,Hyderabad - Central University,50.73,144.93,71.01,36.07,6.82,0,31
16-02-2020,Hyderabad - Central University,55.44,125.96,58.86,38.08,6.01,0,39.8
17-02-2020,Hyderabad - Central University,46.83,121.98,53.25,36.76,5.05,0,35.89
18-02-2020,Hyderabad - Central University,31.46,105.23,56.06,34.6,8.71,0,31.58
19-02-2020,Hyderabad - Central University,36.54,103.23,50.01,37.53,4.07,0,39.54
20-02-2020,Hyderabad - Central University,37.64,87.57,35.35,32.59,2.67,0,37.4
21-02-2020,Hyderabad - Central University,26.23,69.29,32.82,29.83,2.12,0,36.76
22-02-2020,Hyderabad - Central University,21.26,68.28,39.27,30.29,1.44,0,31.87
23-02-2020,Hyderabad - Central University,18.25,57.98,32.76,31,2.02,0,35.42
24-02-2020,Hyderabad - Central University,23.74,70.4,32.09,30.54,2.11,0,39.63
25-02-2020,Hyderabad - Central University,33.53,92.1,33.29,31.86,2.94,0,38.05
26-02-2020,Hyderabad - Central University,44.79,121.17,40.25,30.49,7.65,0,42.79
27-02-2020,Hyderabad - Central University,30.56,100.28,41.61,29.74,6.5,0,42.99
28-02-2020,Hyderabad - Central University,36.11,98.87,41.98,32.7,3.05,0,39.6
29-02-2020,Hyderabad - Central University,33.21,83.91,33.28,31.46,2.39,0,39.83
01-03-2020,Hyderabad - Central University,33.07,88.41,32.93,27.94,1.93,0,40.81
02-03-2020,Hyderabad - Central University,33.12,85.81,34.4,27.71,1.61,0,35.15
03-03-2020,Hyderabad - Central University,37.55,94.97,30.74,26.25,1.64,0,37.94
04-03-2020,Hyderabad - Central University,35.97,111.56,35.87,25.26,3.56,0,31.24
05-03-2020,Hyderabad - Central University,43.26,120.97,39.46,26.22,6.08,0,34.7
06-03-2020,Hyderabad - Central University,24.91,85.82,26.12,22.99,3.38,0,26.27
07-03-2020,Hyderabad - Central University,28.77,87.48,26.17,21.75,2.14,0,29.32
08-03-2020,Hyderabad - Central University,24.7,60.79,21.09,18.2,3.12,0,29.4
09-03-2020,Hyderabad - Central University,23.16,69.56,5.83,3.75,2.25,0,21.08
10-03-2020,Hyderabad - Central University,16.87,53.81,14.41,10.29,2.44,0,25.1
11-03-2020,Hyderabad - Central University,21.49,68.85,29.62,19.69,1.86,0.2,25.71
12-03-2020,Hyderabad - Central University,23.77,77.54,33.45,18.89,2.62,0.43,26.42
13-03-2020,Hyderabad - Central University,17.58,69.08,28.31,18.49,3.05,0.28,23.03
14-03-2020,Hyderabad - Central University,21.47,74.31,28.95,18.58,2.53,0.41,24.41
15-03-2020,Hyderabad - Central University,24.11,74.17,27.05,17.76,3.02,0.3,28.4
16-03-2020,Hyderabad - Central University,17.46,59.15,24.99,17.63,2.86,0.32,22.05
17-03-2020,Hyderabad - Central University,13.42,59.1,22.15,17.31,1.94,0.23,24.77
18-03-2020,Hyderabad - Central University,16.2,60.78,24.84,18.5,3.31,0.34,23.01
19-03-2020,Hyderabad - Central University,32.82,93.52,31.05,18.99,3.06,0.65,32.23
20-03-2020,Hyderabad - Central University,22.79,66.29,3.07,2.45,2.6,0.27,39.04
21-03-2020,Hyderabad - Central University,30.52,87.99,1.43,2.27,3,0.47,38.33
22-03-2020,Hyderabad - Central University,29.28,67.9,1.42,2.32,2.86,0.38,33.93
23-03-2020,Hyderabad - Central University,30.52,68.64,1.41,2.41,2.3,0.49,37.21
24-03-2020,Hyderabad - Central University,22.27,57.42,1.67,2.28,2.97,0.4,35.69
25-03-2020,Hyderabad - Central University,19.93,52.38,1.4,2.41,1.98,0.36,34.32
26-03-2020,Hyderabad - Central University,22.04,56.8,1.44,2.45,2.31,0.29,35.43
27-03-2020,Hyderabad - Central University,26.23,64.73,1.57,2.4,3.37,0.25,41.02
28-03-2020,Hyderabad - Central University,28.08,60.88,4.75,12.29,3.05,0.25,47.42
29-03-2020,Hyderabad - Central University,33.8,69.49,38.73,17.75,3.43,0.54,48.68
30-03-2020,Hyderabad - Central University,29.84,61.66,50.08,10.65,4.47,0.35,44.65
31-03-2020,Hyderabad - Central University,36.32,66.89,50.27,10.78,3.06,0.46,48.77
01-04-2020,Hyderabad - Central University,38.52,75.01,49.75,11.82,2.5,0.38,43.98
02-04-2020,Hyderabad - Central University,37.67,70.66,49.68,10.98,2.64,0.36,44.96
03-04-2020,Hyderabad - Central University,33.02,65.82,50.36,10.46,7.6,0.75,36.85
04-04-2020,Hyderabad - Central University,33.7,64.36,58.14,9.93,3.1,0.57,33.76
05-04-2020,Hyderabad - Central University,26.93,54.44,54.31,10.77,2.46,0.5,31.91
06-04-2020,Hyderabad - Central University,23.72,63.2,53.4,11.9,2.36,0.59,33.48
07-04-2020,Hyderabad - Central University,16.9,36.86,61.92,12.74,2.59,0.6,39.89
08-04-2020,Hyderabad - Central University,19.34,44.91,47.31,9.6,1.47,0.73,55.98
09-04-2020,Hyderabad - Central University,24.35,57.76,55.84,14.3,3.89,0.57,30.3
10-04-2020,Hyderabad - Central University,16.32,37.23,101.81,24.35,4.87,0.83,13.84
11-04-2020,Hyderabad - Central University,16.85,40.25,82.22,20.71,4.41,0.34,7.87
12-04-2020,Hyderabad - Central University,24.79,54.04,35.52,12.01,4.76,0.29,7.25
13-04-2020,Hyderabad - Central University,28.19,61.77,29.16,12.56,5.29,0.55,9.86
14-04-2020,Hyderabad - Central University,29.01,71.52,28.37,11.62,5.46,0.26,12.32
15-04-2020,Hyderabad - Central University,26.2,65.72,26.87,11.55,5.81,0.32,12.79
16-04-2020,Hyderabad - Central University,28.75,64.68,27.73,12,6.07,0.48,14.24
17-04-2020,Hyderabad - Central University,31.33,69.3,26.89,11.87,4.87,0.43,13.29
18-04-2020,Hyderabad - Central University,32.08,64.72,48.3,25.94,4.75,0.08,2.64
19-04-2020,Hyderabad - Central University,22.5,53.02,39.32,18.8,4.29,0.15,4.08
20-04-2020,Hyderabad - Central University,18.4,48.34,35.94,15.25,4.63,0.18,4.54
21-04-2020,Hyderabad - Central University,13.16,34.2,35.41,12.84,3.78,0.82,4.66
22-04-2020,Hyderabad - Central University,16.76,42.01,32.07,11.78,4.15,0.17,6.88
23-04-2020,Hyderabad - Central University,19.94,56.68,29.9,11.87,6.19,0.42,8.43
24-04-2020,Hyderabad - Central University,21.58,55.99,28.81,11.78,5.33,0.31,12.09
25-04-2020,Hyderabad - Central University,23.94,68.19,28.07,9.94,6.46,0.48,13.45
26-04-2020,Hyderabad - Central University,22.7,54.84,26.39,10.91,5,0.4,16.22
27-04-2020,Hyderabad - Central University,15.06,51.22,25.14,9.39,5.67,0.42,16.9
28-04-2020,Hyderabad - Central University,17.12,53.34,27.51,10.27,4.44,0.15,17.14
29-04-2020,Hyderabad - Central University,11.31,36,26.2,9.67,4.49,0.24,28.27
30-04-2020,Hyderabad - Central University,16.38,45.7,26.87,9.69,4.96,0.37,33.95
01-05-2020,Hyderabad - Central University,16.73,34.64,26.17,9.97,4.75,1.06,29.9
02-05-2020,Hyderabad - Central University,19.67,52.01,27.73,10.64,5.36,0.57,36.6
03-05-2020,Hyderabad - Central University,27.05,71.62,27.99,9.39,5.36,0.32,39.51
04-05-2020,Hyderabad - Central University,23.11,64.2,26.03,9.64,5,0.46,47.03
05-05-2020,Hyderabad - Central University,26.33,74.26,25.71,10.36,5.27,0.39,53.1
06-05-2020,Hyderabad - Central University,19.07,55.89,23.59,9.63,4.42,0.39,46.85
07-05-2020,Hyderabad - Central University,21.99,60.77,24.7,9.85,5.12,0.32,40.56
08-05-2020,Hyderabad - Central University,20.82,57.57,23.36,8.87,5.13,0.27,42.3
09-05-2020,Hyderabad - Central University,18.78,56.02,22.71,8.33,5.94,0.11,45.99
10-05-2020,Hyderabad - Central University,13.61,40.24,25.54,8.54,5.64,0.38,34.72
11-05-2020,Hyderabad - Central University,20.55,65.51,28.22,8.36,5.67,0.05,12.64
12-05-2020,Hyderabad - Central University,18.05,59.02,26.53,8.75,4.23,0.14,17
13-05-2020,Hyderabad - Central University,12.9,51.49,24.08,8.17,6.24,0.12,22.32
14-05-2020,Hyderabad - Central University,15.98,49.77,24.58,8.47,5.62,0.12,22.12
15-05-2020,Hyderabad - Central University,12.68,47.55,23.98,8.57,5.81,0.23,28.64
16-05-2020,Hyderabad - Central University,18.22,52.81,25.21,9.97,5.74,0.31,35.58
17-05-2020,Hyderabad - Central University,21.48,70.76,24.29,10.49,5.17,0.32,44.16
18-05-2020,Hyderabad - Central University,19.76,67.21,23.2,10.46,5.52,0.29,48.19
19-05-2020,Hyderabad - Central University,33.84,122.16,26.28,12.97,9.84,0.42,47.66
20-05-2020,Hyderabad - Central University,26.98,112.53,23.41,10.66,8.14,0.24,42.55
21-05-2020,Hyderabad - Central University,22.95,104.22,25.21,10.32,12.51,0.27,43.27
22-05-2020,Hyderabad - Central University,31.7,129.65,30.47,10.45,11.06,0.41,42.16
23-05-2020,Hyderabad - Central University,35.74,135.52,28.63,10.11,8.48,0.4,55.42
24-05-2020,Hyderabad - Central University,31.98,109,21.57,11.58,6.38,0.36,69.22
25-05-2020,Hyderabad - Central University,29.18,92.02,18.97,12.25,6.73,0.31,61.13
26-05-2020,Hyderabad - Central University,27.61,82.03,18.86,11.11,6.13,0.28,58.98
27-05-2020,Hyderabad - Central University,24.85,81.71,19.5,9.19,5.63,0.26,58.91
28-05-2020,Hyderabad - Central University,22.01,90.54,20.64,7.77,5.84,0.32,44.56
29-05-2020,Hyderabad - Central University,14.92,72.45,21.37,7.51,5.63,0.16,42.43
30-05-2020,Hyderabad - Central University,13.15,50.69,25.63,8.16,5.13,0.27,45.62
31-05-2020,Hyderabad - Central University,18.5,57.96,28.38,9.24,5.22,0.35,33.41
01-06-2020,Hyderabad - Central University,NA,64.18,30,11.16,4.81,0.43,53.29
02-06-2020,Hyderabad - Central University,NA,19.24,22.14,10.82,3.89,0.3,53.37
03-06-2020,Hyderabad - Central University,8.15,23.88,22.54,11.54,5.75,0.17,13.5
04-06-2020,Hyderabad - Central University,11.92,28.98,21.6,10.73,4.34,0.15,21.18
05-06-2020,Hyderabad - Central University,16.4,65.14,23.78,9.04,5.5,0.19,20.85
06-06-2020,Hyderabad - Central University,23.05,69.36,22.76,8.55,4.24,0.21,18.19
07-06-2020,Hyderabad - Central University,18.93,47.18,22,8.82,4.13,0.23,19.36
08-06-2020,Hyderabad - Central University,20.29,62.91,19.43,8.64,3.74,0.21,19.24
09-06-2020,Hyderabad - Central University,17.26,45.46,21.92,8.63,4.81,0.24,27.04
10-06-2020,Hyderabad - Central University,19.32,37.57,21.97,10.53,3.86,0.31,26.86
11-06-2020,Hyderabad - Central University,16.07,36.01,19.45,10.81,4.11,0.22,8.18
12-06-2020,Hyderabad - Central University,17.2,31.38,19.01,12.34,3.93,0.23,19.29
13-06-2020,Hyderabad - Central University,14.31,27.23,19.5,9.96,4.13,0.22,33.04
14-06-2020,Hyderabad - Central University,12.03,23.94,18.95,9.09,4.01,0.21,37.74
15-06-2020,Hyderabad - Central University,15.86,30.88,17.89,8.98,3.91,0.21,32.27
16-06-2020,Hyderabad - Central University,14.49,32.64,17.67,8.4,4.79,0.33,24.68
17-06-2020,Hyderabad - Central University,11.61,24.76,16.05,8.7,4.47,0.26,27.19
18-06-2020,Hyderabad - Central University,19.07,38.6,17.04,8.82,4.29,0.17,28.32
19-06-2020,Hyderabad - Central University,22.65,47.1,17,9,5.19,0.2,18.87
20-06-2020,Hyderabad - Central University,26.52,51.77,18.16,9.02,3.93,0.17,25.19
21-06-2020,Hyderabad - Central University,27.26,55.68,16.87,9,4.57,0.2,22.91
