Timestamp,Location,PM2.5,PM10,NO2,NH3,SO2,CO,O3
01-01-2020,Jaipur - Police Commissionerate,115.87,215.77,60.15,22.34,9.62,1.04,37.09
02-01-2020,Jaipur - Police Commissionerate,74.86,139.55,63.7,23.12,9.01,1.26,29.97
03-01-2020,Jaipur - Police Commissionerate,60.02,178.98,69.3,23.99,9.24,1.17,21.45
04-01-2020,Jaipur - Police Commissionerate,66.06,142.19,50.1,21.29,8.54,0.42,35.45
05-01-2020,Jaipur - Police Commissionerate,70.07,146.04,54.09,23.13,11.74,1.16,29.79
06-01-2020,Jaipur - Police Commissionerate,63.99,154.27,57.13,22.97,10.96,0.66,25.37
07-01-2020,Jaipur - Police Commissionerate,64.21,137.56,48.32,21.14,9.57,0.68,36.2
08-01-2020,Jaipur - Police Commissionerate,87.2,170.51,47.43,NA,9.78,0.73,23.05
09-01-2020,Jaipur - Police Commissionerate,42.89,95.79,53.06,NA,12.37,0.68,33.99
10-01-2020,Jaipur - Police Commissionerate,53.56,121.04,53.31,NA,10.1,0.77,32.36
11-01-2020,Jaipur - Police Commissionerate,58.56,151.68,57.91,NA,13.54,2.05,29.63
12-01-2020,Jaipur - Police Commissionerate,71.78,179.33,58.38,NA,10.55,2.26,18.08
13-01-2020,Jaipur - Police Commissionerate,68.1,202.3,47.19,NA,10.5,1.09,23.84
14-01-2020,Jaipur - Police Commissionerate,43.91,153.88,37.89,NA,11.42,0.7,34.14
15-01-2020,Jaipur - Police Commissionerate,52.84,117.9,38.21,NA,10.51,0.62,33.54
16-01-2020,Jaipur - Police Commissionerate,57.94,126.8,44.03,21.9,8.82,0.7,30.16
17-01-2020,Jaipur - Police Commissionerate,62.81,135.05,47.91,22.63,8.82,0.71,23.64
18-01-2020,Jaipur - Police Commissionerate,51.84,122.16,44.89,22.37,8.88,0.45,25.71
19-01-2020,Jaipur - Police Commissionerate,73.49,160.09,57.98,24.71,11.07,1.03,24.57
20-01-2020,Jaipur - Police Commissionerate,67.06,157.39,53.78,22.66,10.04,0.71,31.82
21-01-2020,Jaipur - Police Commissionerate,60.21,105.78,41.3,20.97,8.18,0.68,28.93
22-01-2020,Jaipur - Police Commissionerate,68.29,128.05,48.18,21.99,13.54,0.76,29.93
23-01-2020,Jaipur - Police Commissionerate,52.9,106.67,45.67,21.94,16.2,0.79,28.88
24-01-2020,Jaipur - Police Commissionerate,51.99,122.72,60.41,25.21,17.75,1.06,27.08
25-01-2020,Jaipur - Police Commissionerate,59.28,142.21,61.13,27.68,16.52,1.34,25.51
26-01-2020,Jaipur - Police Commissionerate,56.07,178.46,59.42,26.91,14.74,1.81,26.97
27-01-2020,Jaipur - Police Commissionerate,25.45,112.87,47.02,21.12,15.26,2.05,36.98
28-01-2020,Jaipur - Police Commissionerate,48.9,123.26,46.38,21.59,14.8,0.82,29.29
29-01-2020,Jaipur - Police Commissionerate,37.09,89.09,51.84,22.26,12.93,0.54,27.67
30-01-2020,Jaipur - Police Commissionerate,39.44,98.29,48.28,22.41,10.66,1.04,31.07
31-01-2020,Jaipur - Police Commissionerate,41.95,89.77,51.69,22.29,12.73,1.14,29.29
01-02-2020,Jaipur - Police Commissionerate,54.35,142.02,49.01,22.98,10.74,1.07,37.39
02-02-2020,Jaipur - Police Commissionerate,59.03,138.96,45.63,22.02,11.11,1.44,40.3
03-02-2020,Jaipur - Police Commissionerate,53.43,130.9,47.19,21.78,11.99,1.14,38.26
04-02-2020,Jaipur - Police Commissionerate,55.76,132.08,45.62,21.08,11.97,1,46.11
05-02-2020,Jaipur - Police Commissionerate,57.79,136.87,61.57,23.66,12.04,1.15,41.7
06-02-2020,Jaipur - Police Commissionerate,64.05,139.43,49.66,30.47,12.14,1.17,37.9
07-02-2020,Jaipur - Police Commissionerate,62.13,139.79,49.68,33.94,12.11,1.05,44.5
08-02-2020,Jaipur - Police Commissionerate,62.46,117.72,53.37,35.17,12.01,1.53,40.21
09-02-2020,Jaipur - Police Commissionerate,69.32,140.44,53.99,37.87,12.38,1.25,44.41
10-02-2020,Jaipur - Police Commissionerate,88.82,190.26,59.2,44.23,11.75,1.12,38.2
11-02-2020,Jaipur - Police Commissionerate,67.31,158.65,59.91,54.74,13.45,1.7,56.58
12-02-2020,Jaipur - Police Commissionerate,72.11,202.87,76.31,57.42,12.64,1.4,33.51
13-02-2020,Jaipur - Police Commissionerate,102.09,260.24,85.15,82.52,14.8,1.32,34.08
14-02-2020,Jaipur - Police Commissionerate,93.98,184.39,62.56,39.05,15.82,0.75,45.33
15-02-2020,Jaipur - Police Commissionerate,74.73,156.81,68.76,47.33,15.13,0.8,38.82
16-02-2020,Jaipur - Police Commissionerate,73.86,184.87,81.24,73.14,15.94,0.99,34.83
17-02-2020,Jaipur - Police Commissionerate,110.35,253.35,104.4,109.63,16.15,1.39,27.65
18-02-2020,Jaipur - Police Commissionerate,77.96,202.92,92.9,93.21,15.56,1.34,34.99
19-02-2020,Jaipur - Police Commissionerate,81.09,212.31,77.22,73.83,15.91,0.93,42.79
20-02-2020,Jaipur - Police Commissionerate,51.95,132.72,45.04,26.71,14.6,1.1,52.84
21-02-2020,Jaipur - Police Commissionerate,95.88,216.53,45.31,27.61,14.33,1.23,29.22
22-02-2020,Jaipur - Police Commissionerate,66.17,112.83,46.2,28.09,13.64,1.09,37.07
23-02-2020,Jaipur - Police Commissionerate,61.41,123.29,43.34,26.1,14.03,0.93,50.1
24-02-2020,Jaipur - Police Commissionerate,72,123.48,55.77,53.5,16.06,0.82,39.06
25-02-2020,Jaipur - Police Commissionerate,73.22,146.36,66.92,55.89,15.68,1.11,43.93
26-02-2020,Jaipur - Police Commissionerate,67.07,141.14,61.91,38.99,17.72,1.44,43.15
27-02-2020,Jaipur - Police Commissionerate,60.02,128.91,50.97,33.91,15.11,1.13,52.3
28-02-2020,Jaipur - Police Commissionerate,58.87,139.57,46.29,28.08,15.74,1.02,57.95
29-02-2020,Jaipur - Police Commissionerate,54.76,139.32,44.73,28.35,14.23,1.38,54.94
01-03-2020,Jaipur - Police Commissionerate,26.76,82.57,33.71,19.98,14.52,0.94,65.5
02-03-2020,Jaipur - Police Commissionerate,45.65,111.84,43.05,35.91,15.01,1.17,57.53
03-03-2020,Jaipur - Police Commissionerate,70.81,157.13,40.87,50.43,14.74,1.08,63.47
04-03-2020,Jaipur - Police Commissionerate,64.54,138.22,39.67,46.68,13.41,0.92,68.66
05-03-2020,Jaipur - Police Commissionerate,39.74,91.49,44.7,58.28,14.03,1.2,42.7
06-03-2020,Jaipur - Police Commissionerate,33.77,85.6,45.85,61.17,15.16,0.98,39.27
07-03-2020,Jaipur - Police Commissionerate,37.14,102.21,60.36,86.35,14.87,1.1,30.47
