Timestamp,Location,PM2.5,PM10,NO2,NH3,SO2,CO,O3
01-01-2020,Kolkata - Rabindra Bharati University,NA,NA,NA,NA,NA,NA,NA
02-01-2020,Kolkata - Rabindra Bharati University,125.94,316.62,80.23,44.79,18.62,1.19,39.24
03-01-2020,Kolkata - Rabindra Bharati University,54.8,119,44.32,54.5,16.04,0.38,23
04-01-2020,Kolkata - Rabindra Bharati University,79.89,169.47,52.32,56.17,17.72,1.17,15.41
05-01-2020,Kolkata - Rabindra Bharati University,111.52,245.44,57.02,64.38,19.41,1.17,10.08
06-01-2020,Kolkata - Rabindra Bharati University,110.18,240.33,63.82,50.8,12.83,0.8,28.03
07-01-2020,Kolkata - Rabindra Bharati University,130.32,291.32,71.05,44.38,20.64,0.87,40.13
08-01-2020,Kolkata - Rabindra Bharati University,146.55,327.24,61.24,53.19,19.86,0.79,42.79
09-01-2020,Kolkata - Rabindra Bharati University,114.51,251.26,74.42,40.2,17.87,1.02,32.39
10-01-2020,Kolkata - Rabindra Bharati University,105.21,235.39,68.96,54.2,22.83,0.6,28.76
11-01-2020,Kolkata - Rabindra Bharati University,80.43,181.22,58.81,50.43,25.05,0.43,39.03
12-01-2020,Kolkata - Rabindra Bharati University,96.07,239.17,90.92,47.56,24.09,1.15,42.75
13-01-2020,Kolkata - Rabindra Bharati University,101.31,241.4,81.89,56.13,27.04,0.66,47.96
14-01-2020,Kolkata - Rabindra Bharati University,146.68,359.36,113.72,43.28,29.29,1.57,44.91
15-01-2020,Kolkata - Rabindra Bharati University,222.14,512.39,124.93,74.61,29.64,2.16,37.55
16-01-2020,Kolkata - Rabindra Bharati University,210.19,365,106.12,68.03,18.99,2.18,34.2
17-01-2020,Kolkata - Rabindra Bharati University,182.76,411.34,85.42,91.67,24.46,1.51,35.61
18-01-2020,Kolkata - Rabindra Bharati University,128.04,271.37,107.4,50.4,35.87,2.12,32.56
19-01-2020,Kolkata - Rabindra Bharati University,137.97,323.58,69.67,88.04,24.09,0.74,28.49
20-01-2020,Kolkata - Rabindra Bharati University,71.61,181.06,51.1,59.15,26.07,0.43,57.95
21-01-2020,Kolkata - Rabindra Bharati University,93.8,216.74,49.79,36.4,22.87,0.76,46.04
22-01-2020,Kolkata - Rabindra Bharati University,124.73,281.72,60.28,61.07,23.11,0.87,40.72
23-01-2020,Kolkata - Rabindra Bharati University,214.3,546.1,4.33,5.05,19.47,0.3,51.85
24-01-2020,Kolkata - Rabindra Bharati University,73.57,189.43,49.14,33.17,32.2,0.71,48.74
25-01-2020,Kolkata - Rabindra Bharati University,90.2,232.42,30.41,34.48,24.43,0.76,48.52
26-01-2020,Kolkata - Rabindra Bharati University,121.39,287.4,28.82,39.46,24,1.18,35.69
27-01-2020,Kolkata - Rabindra Bharati University,149.28,375.54,78.37,43.89,22.16,1.34,33.27
28-01-2020,Kolkata - Rabindra Bharati University,145.15,341.88,88.72,54.48,24.28,1.07,36.75
29-01-2020,Kolkata - Rabindra Bharati University,63.2,175.51,74.52,91.77,14.83,0.42,33.73
30-01-2020,Kolkata - Rabindra Bharati University,51.17,191.73,44.74,58.36,14.87,1.21,21.47
31-01-2020,Kolkata - Rabindra Bharati University,49.4,223.44,61.98,56.67,20.22,0.73,31.01
01-02-2020,Kolkata - Rabindra Bharati University,36.38,218.79,75.17,37.34,25.13,1.13,44.68
02-02-2020,Kolkata - Rabindra Bharati University,45.03,270.43,68.18,58.32,27.18,0.56,43.26
03-02-2020,Kolkata - Rabindra Bharati University,51.14,171.61,62.73,34.07,22.05,0.68,47.1
04-02-2020,Kolkata - Rabindra Bharati University,97.14,252.19,82.42,37.73,32.26,0.78,39.14
05-02-2020,Kolkata - Rabindra Bharati University,120.01,340.65,86.38,39.56,50.01,0.81,38.76
06-02-2020,Kolkata - Rabindra Bharati University,106.47,282.01,66.05,51.98,32.63,0.66,38.12
07-02-2020,Kolkata - Rabindra Bharati University,101.22,279.79,61.49,42.69,31.13,0.72,26.54
08-02-2020,Kolkata - Rabindra Bharati University,128.06,343.62,73.76,50.89,30.47,0.73,11.4
09-02-2020,Kolkata - Rabindra Bharati University,NA,NA,NA,NA,NA,NA,NA
10-02-2020,Kolkata - Rabindra Bharati University,NA,NA,NA,NA,NA,NA,NA
11-02-2020,Kolkata - Rabindra Bharati University,107.7,236.8,32.66,36.92,33.24,0.16,52.68
12-02-2020,Kolkata - Rabindra Bharati University,NA,NA,NA,NA,NA,NA,NA
13-02-2020,Kolkata - Rabindra Bharati University,105.35,279.79,103.46,32.04,24.55,1.11,32.05
14-02-2020,Kolkata - Rabindra Bharati University,147.61,399.67,131.92,68.95,42.78,1.57,22.62
15-02-2020,Kolkata - Rabindra Bharati University,107.87,299.82,101.98,67.17,28.94,0.93,33.04
16-02-2020,Kolkata - Rabindra Bharati University,120.39,312.76,101.69,71.32,24.94,0.91,32.8
17-02-2020,Kolkata - Rabindra Bharati University,134.74,350.23,89.51,66.92,14.64,1.14,28.47
18-02-2020,Kolkata - Rabindra Bharati University,136.9,325.46,65.66,53.96,12.03,0.91,26.54
19-02-2020,Kolkata - Rabindra Bharati University,116.11,289.86,66.96,67.94,33.31,0.58,27.44
20-02-2020,Kolkata - Rabindra Bharati University,77.82,220.74,55.65,53.17,26.83,0.39,32.79
21-02-2020,Kolkata - Rabindra Bharati University,109.43,294.31,50.04,55.34,14.32,0.75,30.62
22-02-2020,Kolkata - Rabindra Bharati University,119.9,305.98,69.38,50.27,16.46,0.69,36.8
23-02-2020,Kolkata - Rabindra Bharati University,109.03,276.97,49.87,56.52,9.51,0.67,29.91
24-02-2020,Kolkata - Rabindra Bharati University,140.22,311.52,46.53,57.72,15.94,1.05,25.78
25-02-2020,Kolkata - Rabindra Bharati University,103.73,164.55,65.8,66.81,11.87,0.69,21.97
26-02-2020,Kolkata - Rabindra Bharati University,49.98,99.13,51.83,55.29,17.68,0.38,29.52
27-02-2020,Kolkata - Rabindra Bharati University,64.34,121.05,61.38,54.92,17.36,0.57,30.26
28-02-2020,Kolkata - Rabindra Bharati University,89,153.57,57.1,47.43,12.35,0.53,32.83
29-02-2020,Kolkata - Rabindra Bharati University,86.35,144.13,56.9,53.11,13.77,0.51,34.34
01-03-2020,Kolkata - Rabindra Bharati University,120.44,206.81,59.17,54.15,16.33,0.82,32.61
02-03-2020,Kolkata - Rabindra Bharati University,125.93,234.5,70.94,51.03,23.12,0.75,29.98
03-03-2020,Kolkata - Rabindra Bharati University,101.39,170.36,56.26,49.78,15.96,0.56,33.15
04-03-2020,Kolkata - Rabindra Bharati University,66.06,110.89,52.43,46.85,18.86,0.42,30.61
05-03-2020,Kolkata - Rabindra Bharati University,47.41,117.34,52.91,48.97,18.6,0.45,29.73
06-03-2020,Kolkata - Rabindra Bharati University,47.64,102.76,39.22,44.45,16.61,0.37,26.35
07-03-2020,Kolkata - Rabindra Bharati University,37.46,61.49,34.5,46.7,15.04,0.38,29.58
08-03-2020,Kolkata - Rabindra Bharati University,56.24,98.75,46.98,45.38,17.49,0.57,32.03
09-03-2020,Kolkata - Rabindra Bharati University,64.93,121.01,50.51,43.39,18.63,0.43,44.12
10-03-2020,Kolkata - Rabindra Bharati University,76.6,128.03,56.19,36.46,18.83,0.55,41.4
11-03-2020,Kolkata - Rabindra Bharati University,61.47,122.73,53.83,39.84,19.42,0.4,41.94
12-03-2020,Kolkata - Rabindra Bharati University,72.16,130.86,52.58,44.64,22.54,0.49,35.68
13-03-2020,Kolkata - Rabindra Bharati University,72.01,128.74,58.56,46.24,21.43,0.54,36.81
14-03-2020,Kolkata - Rabindra Bharati University,52.73,110.71,31.1,40.4,14.6,0.32,46.33
15-03-2020,Kolkata - Rabindra Bharati University,23.46,52.4,41.52,42.38,18.01,0.36,40.42
16-03-2020,Kolkata - Rabindra Bharati University,65.24,115.55,47.52,44.9,24.09,0.53,39.77
17-03-2020,Kolkata - Rabindra Bharati University,68.87,123.89,46.1,50.68,16.62,0.45,35.2
18-03-2020,Kolkata - Rabindra Bharati University,96.3,179.64,52.79,47.64,15.1,0.62,26.03
