Timestamp,Location,PM2.5,PM10,NO2,NH3,SO2,CO,O3
01-01-2020,Mumbai - Chhatrapati Shivaji Intl. Airport (T2),127.17,234.16,48.21,27.52,11.12,1.58,13.55
02-01-2020,Mumbai - Chhatrapati Shivaji Intl. Airport (T2),133.34,223.44,56.46,28.47,7.32,1.22,15.82
03-01-2020,Mumbai - Chhatrapati Shivaji Intl. Airport (T2),109.1,210.64,57.92,32.34,6.82,1.23,19.36
04-01-2020,Mumbai - Chhatrapati Shivaji Intl. Airport (T2),116.68,221.51,54.64,32.58,6.88,1.19,17.59
05-01-2020,Mumbai - Chhatrapati Shivaji Intl. Airport (T2),97.56,187.9,37.54,31.77,8.39,1.17,16.46
06-01-2020,Mumbai - Chhatrapati Shivaji Intl. Airport (T2),80.61,168.46,48.71,29.48,10.9,1.11,14.44
07-01-2020,Mumbai - Chhatrapati Shivaji Intl. Airport (T2),94.49,199.51,53.4,26.94,8.41,1.46,16.14
08-01-2020,Mumbai - Chhatrapati Shivaji Intl. Airport (T2),76.02,167.11,37.74,27.95,5.81,1.11,12.22
09-01-2020,Mumbai - Chhatrapati Shivaji Intl. Airport (T2),74.73,167.2,52.01,25.21,7.8,0.99,17.92
10-01-2020,Mumbai - Chhatrapati Shivaji Intl. Airport (T2),81.48,203,46.92,25.02,10.36,1.16,20.79
11-01-2020,Mumbai - Chhatrapati Shivaji Intl. Airport (T2),91.46,222.24,36.39,27.33,11.94,1.32,14
12-01-2020,Mumbai - Chhatrapati Shivaji Intl. Airport (T2),104.46,233.06,30.16,27.05,9.98,1.78,12.63
13-01-2020,Mumbai - Chhatrapati Shivaji Intl. Airport (T2),76.25,158.05,29.42,28.54,5.38,0.98,10.15
14-01-2020,Mumbai - Chhatrapati Shivaji Intl. Airport (T2),43.62,141.9,24.58,29.92,5.53,0.83,11.55
15-01-2020,Mumbai - Chhatrapati Shivaji Intl. Airport (T2),40.99,137.5,34.9,27.64,6.21,0.79,11.5
16-01-2020,Mumbai - Chhatrapati Shivaji Intl. Airport (T2),39.25,118.58,39.07,27.29,5.84,0.67,14.38
17-01-2020,Mumbai - Chhatrapati Shivaji Intl. Airport (T2),68.16,168.28,43.33,28.4,7.75,0.95,13.77
18-01-2020,Mumbai - Chhatrapati Shivaji Intl. Airport (T2),101.12,225.07,58.52,29.72,10.04,1.24,14.09
19-01-2020,Mumbai - Chhatrapati Shivaji Intl. Airport (T2),116.75,262.32,38.12,30.31,9.45,1.74,11.02
20-01-2020,Mumbai - Chhatrapati Shivaji Intl. Airport (T2),100.81,237.66,54.38,30.79,11.45,1.9,13.3
21-01-2020,Mumbai - Chhatrapati Shivaji Intl. Airport (T2),108.64,269.79,35.87,34.92,11.21,2.09,9.27
22-01-2020,Mumbai - Chhatrapati Shivaji Intl. Airport (T2),82.58,247.57,63.23,41.9,10.17,1.68,9.29
23-01-2020,Mumbai - Chhatrapati Shivaji Intl. Airport (T2),94.94,253.66,43.14,40.26,10.36,1.51,13
