Timestamp,Location,PM2.5,PM10,NO2,NH3,SO2,CO,O3
01-01-2020,Visakhapatnam - GVM Corporation,64.72,101.79,26.59,11.42,8.1,1.14,70.51
02-01-2020,Visakhapatnam - GVM Corporation,50.87,91.55,30.49,11.4,8.83,1.09,59.92
03-01-2020,Visakhapatnam - GVM Corporation,52.59,90.53,23.28,11.74,7.55,1.08,61.8
04-01-2020,Visakhapatnam - GVM Corporation,21.82,48.86,21.84,10.36,9.36,0.95,44.17
05-01-2020,Visakhapatnam - GVM Corporation,16,43.07,18.27,10.24,9.04,0.84,52.64
06-01-2020,Visakhapatnam - GVM Corporation,49.68,89.08,22.25,12.36,9.86,0.97,64.75
07-01-2020,Visakhapatnam - GVM Corporation,54.98,102.78,27.94,13.14,9.75,0.94,69
08-01-2020,Visakhapatnam - GVM Corporation,49.74,92.68,27.58,12.69,8.43,0.92,70.9
09-01-2020,Visakhapatnam - GVM Corporation,73.62,212.97,57.72,13.43,6.95,1.25,46.15
10-01-2020,Visakhapatnam - GVM Corporation,49.04,87.31,23.33,10.81,8.2,1,56.9
11-01-2020,Visakhapatnam - GVM Corporation,86.75,140.22,28,12.99,9.64,1.19,73.87
12-01-2020,Visakhapatnam - GVM Corporation,73,125.39,32.71,11.34,10.29,1.04,83.11
13-01-2020,Visakhapatnam - GVM Corporation,101.65,238.44,73.72,14.68,13.18,1.47,72.2
14-01-2020,Visakhapatnam - GVM Corporation,169.47,297.89,77.94,21.89,18.97,2.02,45.93
15-01-2020,Visakhapatnam - GVM Corporation,88.61,178.43,49.7,11.43,6.87,1.24,35.1
16-01-2020,Visakhapatnam - GVM Corporation,71.38,97.38,31.91,11.96,10.15,1.04,75.41
17-01-2020,Visakhapatnam - GVM Corporation,42.12,81.65,27.17,10.47,9.98,1.05,56.14
18-01-2020,Visakhapatnam - GVM Corporation,43.2,83.23,25,10.67,7.75,1.03,45.55
19-01-2020,Visakhapatnam - GVM Corporation,37.89,93.19,29.96,9.64,8.78,1.04,29.61
20-01-2020,Visakhapatnam - GVM Corporation,28.49,64.79,24.71,9.39,4.95,0.77,47.74
21-01-2020,Visakhapatnam - GVM Corporation,27.05,57.21,18.88,9.48,8.51,0.8,40.58
22-01-2020,Visakhapatnam - GVM Corporation,60.35,108.81,22.33,11.76,9.03,1.02,38.01
23-01-2020,Visakhapatnam - GVM Corporation,75.41,168.98,48.2,11.6,7.58,1.38,27.22
24-01-2020,Visakhapatnam - GVM Corporation,71.62,167.63,48.95,11.6,8.25,1.42,40.45
25-01-2020,Visakhapatnam - GVM Corporation,61.91,144.42,41.99,10.93,8.67,1.22,21.39
26-01-2020,Visakhapatnam - GVM Corporation,54.38,123.15,61.09,13.06,8.63,0.9,16.73
27-01-2020,Visakhapatnam - GVM Corporation,58.44,114.13,18.38,11.49,8.52,0.9,29.69
28-01-2020,Visakhapatnam - GVM Corporation,53.17,147.48,52.37,11.37,11.48,1.27,18.24
29-01-2020,Visakhapatnam - GVM Corporation,43.83,111.28,37.99,11.18,12.37,1.12,25.6
30-01-2020,Visakhapatnam - GVM Corporation,47.25,108.15,47.62,11.63,15.66,1.05,24.56
31-01-2020,Visakhapatnam - GVM Corporation,55.72,108.99,29.73,12.3,7.47,0.92,75.18
01-02-2020,Visakhapatnam - GVM Corporation,42.2,63.44,34.59,9.53,5.53,1.02,55.11
02-02-2020,Visakhapatnam - GVM Corporation,33.61,50.31,21.83,9.65,8.8,0.89,61.04
03-02-2020,Visakhapatnam - GVM Corporation,38.59,50.17,18.26,10.01,8.32,0.87,67.13
04-02-2020,Visakhapatnam - GVM Corporation,44.83,73.06,59.93,10.02,7.99,1.36,39.72
05-02-2020,Visakhapatnam - GVM Corporation,56.18,131.66,53.49,11,5.6,1.23,36.48
06-02-2020,Visakhapatnam - GVM Corporation,30.83,60.44,28.93,10.55,5.72,0.89,30.68
07-02-2020,Visakhapatnam - GVM Corporation,29.63,99.95,29.61,9.92,5.92,0.9,22.76
08-02-2020,Visakhapatnam - GVM Corporation,30.54,55.5,16.17,10.25,7.58,0.81,30.63
09-02-2020,Visakhapatnam - GVM Corporation,24.85,45.7,17.86,10.32,8.89,0.81,33.25
10-02-2020,Visakhapatnam - GVM Corporation,34.36,60.72,21.08,11.25,8.05,0.85,35.67
11-02-2020,Visakhapatnam - GVM Corporation,58.3,99.49,25.21,12.77,8.31,0.96,45.85
12-02-2020,Visakhapatnam - GVM Corporation,62.08,107.12,27.57,12.43,8.07,1.02,46.46
13-02-2020,Visakhapatnam - GVM Corporation,85.8,183.91,65.09,15,10.05,1.32,33.25
14-02-2020,Visakhapatnam - GVM Corporation,69.96,128.13,49.77,13.82,6.18,1.14,28.1
15-02-2020,Visakhapatnam - GVM Corporation,68.99,146.21,51.43,13.45,8.88,1.27,23.35
16-02-2020,Visakhapatnam - GVM Corporation,52.25,113.52,39.67,12.75,7.36,0.97,18.81
17-02-2020,Visakhapatnam - GVM Corporation,40.79,121.95,47.1,11.36,5.65,1.03,13.96
18-02-2020,Visakhapatnam - GVM Corporation,42.08,105.51,41.75,11.11,4.78,1.03,14.72
19-02-2020,Visakhapatnam - GVM Corporation,46.43,91.31,32.11,12.2,7.1,0.92,14.67
20-02-2020,Visakhapatnam - GVM Corporation,38.3,68.77,17.79,11.8,3.29,0.92,17.51
21-02-2020,Visakhapatnam - GVM Corporation,30.31,60,23.25,12.94,1.63,0.85,14.94
22-02-2020,Visakhapatnam - GVM Corporation,32.24,71.51,25.8,12.51,7.35,0.59,25.98
